Country Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Nicaragua,5983845.0,6066492.0,6149417.0,6232666.0,6316231.0,6400080.0,6483657.0,6565267.0,6644741.0,6730654.0,6823613.0
Netherlands,16804432.0,16865008.0,16939923.0,17030314.0,17131296.0,17231624.0,17344874.0,17441500.0,17533044.0,17700982.0,17877117.0
Norway,5079623.0,5137232.0,5188607.0,5234519.0,5276968.0,5311916.0,5347896.0,5379475.0,5408320.0,5457127.0,5519594.0
Nepal,27589996.0,27672370.0,27823629.0,27955462.0,28011258.0,28079689.0,28414064.0,28966574.0,29475010.0,29715436.0,29694614.0
Nauru,10517.0,10742.0,10954.0,11150.0,11324.0,11477.0,11587.0,11643.0,11709.0,11801.0,11875.0
New Zealand,4442100.0,4516500.0,4609400.0,4714100.0,4813600.0,4900600.0,4979200.0,5090200.0,5111300.0,5117200.0,5223100.0
OECD members,1314705887.0,1323087907.0,1331189869.0,1339441048.0,1347317014.0,1355260023.0,1362497757.0,1370013876.0,1371769252.0,1378506989.0,1385723403.0
Oman,3833913.0,4002439.0,4184895.0,4390877.0,4537396.0,4597877.0,4591241.0,4522497.0,4500424.0,4730226.0,5049269.0
Other small states,12719557.0,12904905.0,13091061.0,13273445.0,13487767.0,13634874.0,13761088.0,13884095.0,14040798.0,14217718.0,14411921.0
Pakistan,211073978.0,214264647.0,217290883.0,220138869.0,223273967.0,226928892.0,230800899.0,235001746.0,239477801.0,243700667.0,247504495.0
Panama,3825329.0,3892101.0,3960035.0,4029086.0,4098707.0,4167860.0,4234700.0,4293261.0,4345405.0,4400773.0,4458759.0
Peru,29817919.0,30115826.0,30457600.0,30866494.0,31324637.0,31897584.0,32449303.0,32838579.0,33155882.0,33475438.0,33845617.0
Philippines,102076336.0,103767130.0,105312992.0,106735719.0,108119693.0,109465287.0,110804683.0,112081264.0,113100950.0,113964338.0,114891199.0
Palau,17648.0,17715.0,17770.0,17797.0,17812.0,17814.0,17798.0,17792.0,17783.0,17759.0,17727.0
Papua New Guinea,8302698.0,8523441.0,8743246.0,8961718.0,9178714.0,9394513.0,9609010.0,9815746.0,10012896.0,10203169.0,10389635.0
Poland,38040196.0,38011735.0,37986412.0,37970087.0,37974826.0,37974750.0,37965475.0,37899070.0,36981559.0,36821749.0,36687353.0
Pre-demographic dividend,822138419.0,846420736.0,870587800.0,895239872.0,920568701.0,946317177.0,972302503.0,998624261.0,1024960313.0,1051201551.0,1078224044.0
Puerto Rico,3593077.0,3534874.0,3473232.0,3406672.0,3325286.0,3193354.0,3193694.0,3281557.0,3262693.0,3220113.0,3205691.0
